                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
177,0.61414,0.3811,0.88807,0.63803,0.73184,0.6728,0.47826,1.0357,1.125,1.0909,0.00016875,0.00016875,0.00016875
178,0.59842,0.38498,0.89265,0.66766,0.85435,0.78119,0.53395,1.0623,0.83404,1.1066,0.000164,0.000164,0.000164
179,0.61479,0.38194,0.89451,0.71474,0.71845,0.74073,0.51436,1.0428,0.88424,1.1023,0.00015925,0.00015925,0.00015925
180,0.59976,0.38121,0.8935,0.62801,0.8063,0.71529,0.49277,1.0475,0.94073,1.092,0.0001545,0.0001545,0.0001545
181,0.59995,0.3719,0.8924,0.71525,0.71135,0.72924,0.51624,1.0252,0.92306,1.0665,0.00014975,0.00014975,0.00014975
182,0.59216,0.37576,0.87651,0.67989,0.76117,0.73813,0.52085,1.0321,0.89704,1.0777,0.000145,0.000145,0.000145
183,0.60061,0.37405,0.89074,0.66472,0.8117,0.73235,0.51651,1.0489,0.90658,1.0896,0.00014025,0.00014025,0.00014025
184,0.587,0.36799,0.89056,0.63688,0.84154,0.72628,0.5121,1.019,0.94571,1.0662,0.0001355,0.0001355,0.0001355
185,0.57873,0.35824,0.87734,0.65687,0.78935,0.74924,0.52759,1.0162,0.9214,1.0617,0.00013075,0.00013075,0.00013075
186,0.57904,0.35201,0.88978,0.68913,0.75947,0.75136,0.53525,1.0358,0.91303,1.0799,0.000126,0.000126,0.000126
187,0.60679,0.37594,0.8964,0.6701,0.81659,0.74706,0.52727,1.0327,0.89602,1.0762,0.00012125,0.00012125,0.00012125
188,0.59657,0.3746,0.88825,0.66704,0.78854,0.72599,0.50902,1.0329,0.91078,1.0732,0.0001165,0.0001165,0.0001165
189,0.56899,0.36837,0.88235,0.68551,0.72223,0.70454,0.50139,1.0418,0.98988,1.0826,0.00011175,0.00011175,0.00011175
190,0.5882,0.36797,0.88336,0.65003,0.71217,0.67014,0.47037,1.0659,1.0983,1.1037,0.000107,0.000107,0.000107
191,0.52833,0.31157,0.85171,0.62439,0.79229,0.67547,0.47107,1.0748,1.062,1.1152,0.00010225,0.00010225,0.00010225
